model,precision,recall,f1,pr_auc,cost_test,roc_auc
LogReg_0.5,0.0591471801925722,0.8775510204081632,0.1108247422680412,0.7260012305359134,128400.0,
RandomForest_0.5,0.9605263157894736,0.7448979591836735,0.8390804597701149,0.8259069665825516,125150.0,
XGBoost_0.5,0.9518072289156626,0.8061224489795918,0.8729281767955801,0.8498730426966837,95200.0,
XGBoost_best_thresh,0.6885245901639344,0.8571428571428571,0.7636363636363637,0.8498730426966837,71900.0,
mlp,,,,0.912809433602307,,0.9901091543184389
